,value
1060,1.4022985884808203
1061,3.5844738382367822
1062,1.7599937165430588
1063,3.407300365234251
1064,2.447242482747081
1065,3.0919082804786524
1066,2.397724338313079
1067,2.431856816127615
1068,3.031136101140743
1069,2.301026672315227
1070,2.1300775634468656
1071,3.644856922211842
1072,1.7990788791951893
1073,3.2787675658092716
1074,3.5785418098564623
1075,1.0729806210159891
1076,3.4031870612539126
1077,1.2747094946875352
1078,3.036592259217521
1079,2.05713713584329
1080,2.691773245294546
1081,2.0907651637718248
1082,1.8583901183100642
1083,3.5240884683137477
1084,1.225626683966844
1085,3.106853134552067
1086,2.036516484770836
1087,2.6979423596107823
1088,2.4497807068766426
1089,2.7912624231346452
1090,1.490169607277286
1091,3.3326484464029247
1092,3.4507068836155543
1093,2.9467502835945787
1094,0.9211708591722895
1095,3.4384452770054184
1096,1.7205827230337336
1097,3.1278766159759614
1098,2.195695903872016
1099,1.821209303618723
1100,2.8778551549869866
1101,2.4804158748558773
1102,3.2125486847720515
1103,2.6727077441320377
1104,2.9597120463130455
1105,2.618674246726237
1106,1.5965478855757833
1107,2.6617672761548263
1108,1.9260608859281911
1109,2.281303944409203
1110,1.729851518054521
1111,2.611275938705436
1112,0.9186799039056777
1113,2.636645562474336
1114,1.7751092080629571
1115,3.9152211212457937
1116,1.4458891379291625
1117,2.5873868384631256
1118,3.09789489041618
1119,3.9294292278087637
1120,3.729443412924229
1121,3.33535255915573
1122,2.6833320249846637
1123,3.1604745408806987
1124,3.322706125226267
1125,1.881841976611043
1126,3.590986655779053
1127,2.5086138173289556
1128,3.32095834600337
1129,2.884408969506058
1130,3.1695392066065433
1131,3.3528680142623166
1132,2.438238290323784
1133,3.2244709648929764
1134,1.8200526361132905
1135,3.316578943474512
1136,3.34775839081576
1137,1.1929014583864377
1138,1.3427019547832622
1139,3.040156965600657
1140,1.8328238487119008
1141,3.1873119559548515
1142,1.240769181841378
1143,3.20448186242208
1144,3.250537357259705
1145,2.3058785704138502
1146,1.3763056519893428
1147,1.0206075370719185
1148,2.5930870617154302
1149,2.790501150318906
1150,1.6023941271640607
1151,2.680126911299328
1152,1.7824610967380752
1153,2.7613027028069514
1154,2.502434854260793
1155,2.8011083926378313
1156,2.8078487977982416
1157,2.632942455531574
1158,3.2767137033356213
1159,3.563007181780894
1160,2.3338474770735393
1161,3.8477158307616595
1162,2.5449126910859823
1163,1.82395224396898
1164,3.002396073339031
1165,1.9650049361850248
1166,3.6247775288406605
1167,2.921421887213256
1168,1.9592830195600692
1169,2.7570139070759248
1170,2.7179832482820228
1171,2.3626536792854886
1172,3.240706019865332
1173,2.4806981227911318
1174,4.041797984760537
1175,1.8904636411617137
1176,4.2439706766585115
1177,1.4003089387428294
1178,4.067639771110946
1179,2.7398552147051136
1180,2.193355616341635
1181,2.453536629287036
1182,2.584883634629479
1183,2.1196447362719857
1184,1.479260332132491
1185,3.294893600100104
1186,1.5036695482043263
1187,3.2507163299456834
1188,2.9496250406424274
1189,1.8269951851069894
1190,2.9028469729258166
1191,2.656143890229173
1192,2.6628742629065734
1193,2.3635456602732146
1194,1.8749160831391283
1195,3.1986279771365025
1196,1.8588124087861857
1197,2.9399030789201177
1198,1.7894891597162594
1199,2.9174280589532806
1200,2.989016954869154
1201,1.8648865159731054
1202,2.597039704583218
1203,1.692251589006676
1204,2.3110381990114055
1205,2.3914541371585507
1206,2.1134863146632497
1207,2.2021282966476172
1208,1.6970217846843272
1209,2.393695859290493
1210,1.396448016247791
1211,1.6407538686326997
1212,2.6074120015744873
1213,1.8172571334846679
1214,3.3816000957764505
1215,3.497272529315835
1216,2.078300973956952
1217,3.784961891027644
1218,2.3435398481797454
1219,3.2722246725425217
1220,2.6241551698659267
1221,3.159435818701464
1222,2.789892022384477
1223,2.4415877825330945
1224,3.0203117877739354
1225,2.2494018810214635
1226,3.2415537305757667
1227,2.1214343166265808
1228,4.160089134483212
1229,1.8750150084694153
1230,4.125904864310959
1231,3.2557885952924743
1232,1.3894943124847212
1233,3.080672060602021
1234,1.2277494079473315
1235,1.7334688103764986
1236,2.0385459110532036
1237,0.9507932576939186
1238,2.4646049597700457
1239,2.5873701657664903
1240,2.2492241246995155
1241,2.8200702603579404
1242,1.8034288929719275
1243,2.9678704364677237
1244,1.2914670686323557
1245,2.0935301727208633
1246,1.3644203578186316
1247,2.623445904424798
1248,1.7165884030807255
1249,3.2188351947244316
1250,3.2984278855966584
1251,1.4138222250254764
1252,3.255093620522685
1253,1.6725978461266782
1254,3.295201232459866
1255,2.5725609709185466
1256,3.0845008579928344
1257,2.95359384533682
1258,2.246670382075612
1259,2.9776401636275933
1260,3.285352445521262
1261,1.3786658291575455
1262,3.269330544531149
1263,1.4506741863446713
1264,2.3736423215129223
1265,1.926857605535582
1266,2.705494804169621
1267,1.4660140478884818
1268,3.221192009686732
1269,2.6431878319283957
1270,3.9213885410007654
1271,4.09503334986417
1272,4.219672553510453
1273,3.6863217206881793
1274,3.254297520873635
1275,1.5207287276853982
1276,1.2434348892924145
1277,2.9926284893997828
1278,2.7616646238136338
1279,2.9418798124702934
1280,1.2386066245573901
1281,2.383111801362025
1282,2.6479287324750582
1283,1.1504857462029696
1284,2.7722497409168536
1285,1.0692922866435854
1286,2.9068543978089245
1287,1.0323476284615636
1288,3.085892715448679
1289,3.068725895711808
1290,2.200408282861446
1291,2.613104844203509
